##Dense access data(around or more than whole map number of items being accessed)##
# ---------------------------------------------
# 10^5 entries in map with 10^5 being accessed by each Thread

Thread		TreeMap				SkipListMap
		A		M		A		M
1		410.8		396.2		505		470.1
2		645.9		622.1		515.05		497.2
4		1703.75		1483.33		550.675		534.375
8		3935.66		3756.94		544.807		543.943
12		6120.01		5809		534.917		543.433
16		8242.32		7839.43		533.281		532.663
32		17016.4		15844		522.556		522.147
64		36318.8		33703.2		558.703		552.816

# ---------------------------------------------
# 10^5 entries in map with 10^6 being accessed by each Thread

Thread		TreeMap				SkipListMap
		A		M		A		M
1		352.6		363.9		451		433.2
2		492.65		495.9		459.85		443.15
4		1543.35		1433.53		514.375		497.225
8		3835.82		3909.38		539.875		546.925
16		8374.03		8416.93		544.156		550.019
32		17868.9		18148.6		570.025		589.538
64		36924.2		37116.5		578.88		591.989


##Sparse access data (less than whole map number of items being accessed)##
# ---------------------------------------------
#10^5 entries in the map with 10^3 entries being accessed by each Thread

Thread		TreeMap				SkipListMap
		A		M		A		M
1		1087.83		927.833		1907.58		1160.42
2		1336.5		1196.75		2085.8		1132.25
4		1943.92		1675.95		1784.03		1095.45
8		4977.43		3580.79		1429.9		1096.79
12		4958.16		3444.86		1436.53		1083.56
16		3835.31		2886.71		1183.97		1012.01
32		5306.12		3503.38		1120.22		920.569
64		10738.7		5979.7		1081.9		926.517
128		18514.3		8263.31		1047.18		939.289

# ---------------------------------------------
#10^5 entries in the map with 100 entries being accessed by each Thread

Thread		TreeMap				SkipListMap
		A		M		A		M
1		2478.1		1969.3		5072.1		3048.3
2		2403.55		1797.25		4324.7		2937.9
4		1810.45		1392.85		3552.95		2880.18
8		1536.47		1335.25		2790.35		2073.56
12		1551.55		1174.4		2520.5		1878.62
16		1313.17		1159.69		2049.99		1609.53
32		1681.36		1194.81		1789.32		1528.35
64		1146.44		1004.85		1644.71		1366.86
128		1050.31		913.133		1390.41		1206.62
